B040002,I050003,Z118017,Z118018,Z118013,B050013
942115182,9002,False,False,0.0552,1517381625
634334244,9002,False,False,0.0548,1517368635
2321097911,9003,False,False,0.0545,1517321886
2721824509,9003,False,False,0.0545,1517328511
2318846679,9003,False,False,0.0545,1517321638
383038451,9001,False,False,0.0536,1517329234
945697551,9002,False,False,0.0535,1517381948
936409210,9002,False,False,0.0524,1517381276
2524377450,9001,False,False,0.0522,1517314741
271531415,9002,False,False,0.0512,1517336138
397573593,9002,False,False,0.0506,1517354441
1125278547,9002,False,False,0.0503,1517302512
270793486,9002,False,False,0.0497,1517335357
2428915130,9003,False,False,0.0486,1517323462
277676826,9002,False,False,0.0481,1517338364
764762331,9002,False,False,0.048,1517373967
1198063564,9002,False,False,0.0476,1517305860
332155966,9002,False,False,0.047,1517348719
2373881442,9002,False,False,0.0467,1517329170
407521938,9003,False,False,0.0438,1517344214
625330323,9003,False,False,0.0436,1517354118
2909477241,9002,False,False,0.0426,1517342027
903428671,9003,False,False,0.0416,1517365679
704777032,9001,False,False,0.0404,1517338798
28487660,9002,False,False,0.0403,1517340280
330566198,9003,False,False,0.0394,1517338678
6419426,9002,False,False,0.0388,1517368996
286044636,9002,False,False,0.037,1517341027
1012263564,9002,False,False,0.0366,1517298120
530136904,9002,False,False,0.0366,1517363555
9509018,9002,False,False,0.0363,1517382528
470216866,9002,False,False,0.0361,1517359203
648969397,9003,False,False,0.0358,1517354977
380903334,9002,False,False,0.0344,1517353310
1006314393,9001,False,False,0.0335,1517297673
3103547560,9002,False,False,0.0327,1517345386
368858775,9002,False,False,0.0326,1517351829
1052099395,9003,False,False,0.0322,1517299020
740098968,9002,False,False,0.0317,1517371863
406746357,9002,False,False,0.0313,1517354977
531685580,9002,False,False,0.0309,1517363862
986540758,9003,False,False,0.0308,1517369086
1360867434,9003,False,False,0.0301,1517307984
363278060,9003,False,False,0.0298,1517340957
931022237,9003,False,False,0.0296,1517367013
1251546618,9003,False,False,0.0285,1517305556
1154980830,9002,False,False,0.0283,1517304046
244680032,9002,False,False,0.028,1517330424
2628728205,9003,False,False,0.028,1517326976
252629232,9002,False,False,0.027,1517332132
349824689,9002,False,False,0.0266,1517350756
59297910,9002,False,False,0.0264,1517366469
751667746,9002,False,False,0.0263,1517373006
804961252,1700,False,False,0.0259,1517313860
812981011,9001,False,False,0.0247,1517342066
449556409,9003,False,False,0.0242,1517346494
734180673,9002,False,False,0.0237,1517371449
1059583200,9002,False,False,0.0234,1517300608
2743357634,1700,False,False,0.0234,1517307346
923058691,9002,False,False,0.0229,1517380490
1428156167,9003,False,False,0.0229,1517309041
211044583,9002,False,False,0.0228,1517325064
530338386,9003,False,False,0.0227,1517349920
1187813989,9003,False,False,0.0227,1517303487
136045801,1700,False,False,0.0225,1517299590
547668909,9003,False,False,0.022,1517351022
480692841,9002,False,False,0.022,1517360040
273271758,9002,False,False,0.022,1517336812
18116261,9002,False,False,0.0215,1517320438
365758894,9003,False,False,0.0209,1517341780
2822292835,9001,False,False,0.0209,1517319173
2748450797,9002,False,False,0.0206,1517337534
273487396,9002,False,False,0.0193,1517337040
2651005747,9003,False,False,0.0191,1517327566
1761147708,9003,False,False,0.0189,1517313993
272729255,9002,False,False,0.0186,1517336514
9892911,9001,False,False,0.0181,1517347719
1248505297,9002,False,False,0.0177,1517307537
893324394,9002,False,False,0.0173,1517378944
183392270,9002,False,False,0.0169,1517321046
309089756,9002,False,False,0.016,1517345039
421648628,9002,False,False,0.016,1517356142
438919901,9001,False,False,0.0159,1517331264
815352415,9001,False,False,0.0158,1517342359
2985659082,9002,False,False,0.0156,1517343725
1311021685,9002,False,False,0.0155,1517310035
499983695,9002,False,False,0.0149,1517361443
524950758,9002,False,False,0.0148,1517363181
1170413064,9002,False,False,0.0147,1517304978
1205995963,9003,False,False,0.0145,1517304026
1207064572,9002,False,False,0.0142,1517306259
1326166719,9002,False,False,0.0142,1517310447
80695485,9003,False,False,0.014,1517360040
347521643,9002,False,False,0.014,1517350390
591514300,9002,False,False,0.0138,1517366217
1106543273,9003,False,False,0.0129,1517301267
1454213434,9002,False,False,0.0126,1517313618
766161213,9002,False,False,0.0122,1517374214
823135924,9003,False,False,0.012,1517361569
1059134374,9002,False,False,0.0117,1517300356
584512446,9003,False,False,0.0114,1517352530
370020814,9002,False,False,0.0113,1517352130
1417293481,9002,False,False,0.0113,1517312672
320171497,9003,False,False,0.0112,1517337040
1264422476,9002,False,False,0.0112,1517308371
840369387,9001,False,False,0.011,1517343275
2804812936,9002,False,False,0.0109,1517339256
1979597831,9002,False,False,0.01,1517323462
1730795255,9002,False,False,0.01,1517318924
1216736797,9001,False,False,0.0098,1517301709
379537025,9002,False,False,0.0097,1517352991
503071907,9002,False,False,0.0094,1517361794
602566397,9002,False,False,0.0092,1517367457
1097281002,9002,False,False,0.0088,1517301543
2209113725,9002,False,False,0.0087,1517325987
365615305,9003,False,False,0.0084,1517341540
342124669,9002,False,False,0.0081,1517349408
897380666,9002,False,False,0.0081,1517379303
362099346,9001,False,False,0.008,1517328045
1192653236,9002,False,False,0.0079,1517305556
840369387,9003,False,False,0.0077,1517362572
